Jugador,Minutos Jugados,Goles,Asistencias,Disparos a Puerta,Disparos Fuera,Faltas Recibidas,Faltas Cometidas,Tarjetas Amarillas,Tarjetas Rojas,Pases Completados,Total de Pases ,Paradas Realizadas
Unai Simón,90,0,0,0,0,0,0,0,0,33,38,2
Carvajal,90,0,0,0,0,0,1,0,0,49,54,0
Cucurella,90,0,1,0,0,1,2,0,0,35,38,0
Nacho,7,0,0,0,0,1,0,0,0,3,3,0
Rodri,45,0,0,0,0,0,2,0,0,29,33,0
Mikel Merino,1,0,0,0,0,0,2,0,0,0,1,0
Fabián Ruiz,90,0,0,1,1,1,0,0,0,53,61,0
Zubimendi,45,0,0,0,0,1,0,0,0,24,26,0
Lamine Yamal,89,0,1,2,0,0,0,0,0,23,30,0
Laporte,90,0,0,0,1,1,0,0,0,78,84,0
Dani Olmo,90,0,0,0,2,0,1,1,0,26,29,0
Morata,68,0,0,0,3,0,0,0,0,15,20,0
Oyarzabal,22,1,0,2,0,0,0,0,0,3,4,0
Le Normand,83,0,0,0,1,0,0,0,0,80,84,0
Nico Williams,90,1,0,1,2,0,3,0,0,38,42,0