,,,,,,,,,,,,,,
Jugador,Minutos Jugados,Goles,Asistencias,Disparos a Puerta,Disparos Fuera,Faltas Recibidas,Recuperaciones,Faltas Cometidas,Tarjetas Amarillas,Tarjetas Rojas,Pases Completados,Total de Pases ,Regates,Paradas Realizadas
Unai Simón,90,0,0,0,0,0,0,0,0,0,28,40,0,5
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Carvajal,90,1,0,1,0,1,8,0,0,0,48,51,1,0
Le Normand,90,0,0,0,0,1,2,1,0,0,43,50,1,0
,,,,,,,,,,,,,,
Nacho,90,0,0,0,0,1,4,0,0,0,50,52,1,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Cucurella,90,0,0,0,0,1,2,5,0,0,34,43,0,0
Zubimendi,4,0,0,0,0,0,2,0,0,0,9,9,0,0
Rodri,86,0,0,0,0,5,5,2,0,0,57,64,1,0
Mikel Merino,23,0,0,0,0,0,1,2,0,0,6,8,0,0
Fabián Ruiz,90,1,1,1,0,0,3,1,0,0,45,50,2,0
Pedri,59,0,1,0,0,2,4,0,0,0,18,18,1,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Lamine Yamal,86,0,1,1,1,0,3,1,0,0,16,20,5,0
Ferran,4,0,0,1,0,0,0,1,0,0,2,3,0,0
Dani Olmo,31,0,0,0,0,0,0,0,0,0,11,14,4,0
Nico Williams,67,0,0,0,0,1,1,1,0,0,14,18,3,0
Morata,67,1,0,2,1,1,1,2,0,0,6,10,0,0
,,,,,,,,,,,,,,
Oyarzabal,23,0,0,0,0,1,0,2,0,0,5,5,0,0