Jugador,Minutos Jugados,Goles,Asistencias,Disparos a Puerta,Disparos Fuera,Faltas Recibidas,Faltas Cometidas,Tarjetas Amarillas,Tarjetas Rojas,Pases Completados,Total de Pases ,Paradas Realizadas
Unai Simón,120,0,0,0,0,0,0,1,0,31,48,5
Carvajal,119,0,0,0,2,1,4,2,1,36,40,0
Le Normand,45,0,0,0,0,0,1,1,0,23,24,0
Cucurella,120,0,0,0,0,3,1,0,0,47,52,0
Nacho,75,0,0,0,0,0,0,0,0,28,31,0
Rodri,120,0,0,0,0,3,2,1,0,67,71,0
Mikel Merino,40,1,0,1,0,0,0,0,0,21,27,0
Fabián Ruiz,102,0,0,0,2,1,2,1,0,71,78,0
Pedri,8,0,0,1,0,1,0,0,0,0,0,0
Lamine Yamal,63,0,1,1,1,1,0,0,0,10,12,0
Laporte,120,0,0,0,1,2,0,0,0,66,72,0
Dani Olmo,112,1,1,2,1,4,1,0,0,32,42,0
Ferran,57,0,0,0,2,1,2,1,0,11,12,0
Morata,80,0,0,0,2,3,2,0,0,14,23,0
Oyarzabal,40,0,0,0,3,0,0,0,0,17,18,0
Joselu,18,0,0,0,0,1,0,0,0,1,2,0
Nico Williams,80,0,0,0,1,1,2,0,0,20,24,0